Time	Exact_Real	VQTE_Real
0.000000	-0.000000	0.000000
0.001000	0.001996	0.001996
0.002000	0.003984	0.003984
0.003000	0.005964	0.005964
0.004000	0.007936	0.007936
0.005000	0.009901	0.009901
0.006000	0.011857	0.011857
0.007000	0.013806	0.013806
0.008000	0.015747	0.015747
0.009000	0.017680	0.017680
0.010000	0.019605	0.019606
0.011000	0.021523	0.021524
0.012000	0.023433	0.023434
0.013000	0.025336	0.025337
0.014000	0.027230	0.027232
0.015000	0.029118	0.029119
0.016000	0.030998	0.030999
0.017000	0.032870	0.032872
0.018000	0.034735	0.034737
0.019000	0.036592	0.036595
0.020000	0.038442	0.038445
0.021000	0.040284	0.040288
0.022000	0.042120	0.042123
0.023000	0.043947	0.043951
0.024000	0.045768	0.045772
0.025000	0.047581	0.047586
0.026000	0.049387	0.049392
0.027000	0.051186	0.051191
0.028000	0.052978	0.052983
0.029000	0.054762	0.054768
0.030000	0.056540	0.056546
0.031000	0.058310	0.058317
0.032000	0.060073	0.060080
0.033000	0.061830	0.061837
0.034000	0.063579	0.063587
0.035000	0.065321	0.065329
0.036000	0.067056	0.067065
0.037000	0.068784	0.068794
0.038000	0.070506	0.070516
0.039000	0.072220	0.072231
0.040000	0.073928	0.073939
0.041000	0.075629	0.075640
0.042000	0.077323	0.077335
0.043000	0.079010	0.079023
0.044000	0.080691	0.080704
0.045000	0.082365	0.082378
0.046000	0.084032	0.084046
0.047000	0.085693	0.085707
0.048000	0.087347	0.087362
0.049000	0.088994	0.089009
0.050000	0.090635	0.090651
0.051000	0.092269	0.092286
0.052000	0.093896	0.093914
0.053000	0.095518	0.095536
0.054000	0.097132	0.097151
0.055000	0.098741	0.098760
0.056000	0.100342	0.100362
0.057000	0.101938	0.101958
0.058000	0.103527	0.103548
0.059000	0.105110	0.105131
0.060000	0.106686	0.106708
0.061000	0.108256	0.108279
0.062000	0.109820	0.109844
0.063000	0.111378	0.111402
0.064000	0.112929	0.112954
0.065000	0.114474	0.114500
0.066000	0.116013	0.116040
0.067000	0.117546	0.117573
0.068000	0.119073	0.119101
0.069000	0.120594	0.120622
0.070000	0.122108	0.122137
0.071000	0.123617	0.123647
0.072000	0.125119	0.125150
0.073000	0.126616	0.126647
0.074000	0.128106	0.128138
0.075000	0.129591	0.129624
0.076000	0.131070	0.131103
0.077000	0.132542	0.132577
0.078000	0.134009	0.134044
0.079000	0.135470	0.135506
0.080000	0.136925	0.136962
0.081000	0.138375	0.138412
0.082000	0.139818	0.139856
0.083000	0.141256	0.141295
0.084000	0.142688	0.142728
0.085000	0.144115	0.144155
0.086000	0.145536	0.145577
0.087000	0.146951	0.146992
0.088000	0.148360	0.148403
0.089000	0.149764	0.149807
0.090000	0.151162	0.151206
0.091000	0.152554	0.152599
0.092000	0.153941	0.153987
0.093000	0.155323	0.155369
0.094000	0.156699	0.156746
0.095000	0.158069	0.158117
0.096000	0.159434	0.159483
0.097000	0.160794	0.160844
0.098000	0.162148	0.162198
0.099000	0.163497	0.163548
0.100000	0.164840	0.164892
0.101000	0.166178	0.166231
0.102000	0.167511	0.167564
0.103000	0.168838	0.168892
0.104000	0.170160	0.170215
0.105000	0.171477	0.171533
0.106000	0.172788	0.172845
0.107000	0.174094	0.174152
0.108000	0.175395	0.175454
0.109000	0.176691	0.176751
0.110000	0.177982	0.178042
0.111000	0.179267	0.179328
0.112000	0.180548	0.180610
0.113000	0.181823	0.181886
0.114000	0.183093	0.183157
0.115000	0.184358	0.184423
0.116000	0.185618	0.185683
0.117000	0.186873	0.186939
0.118000	0.188123	0.188190
0.119000	0.189368	0.189436
0.120000	0.190608	0.190677
0.121000	0.191843	0.191913
0.122000	0.193074	0.193144
0.123000	0.194299	0.194370
0.124000	0.195519	0.195591
0.125000	0.196735	0.196807
0.126000	0.197945	0.198019
0.127000	0.199151	0.199226
0.128000	0.200352	0.200427
0.129000	0.201548	0.201624
0.130000	0.202740	0.202817
0.131000	0.203926	0.204004
0.132000	0.205108	0.205187
0.133000	0.206286	0.206365
0.134000	0.207458	0.207538
0.135000	0.208626	0.208707
0.136000	0.209789	0.209871
0.137000	0.210948	0.211030
0.138000	0.212101	0.212185
0.139000	0.213251	0.213335
0.140000	0.214395	0.214481
0.141000	0.215536	0.215622
0.142000	0.216671	0.216758
0.143000	0.217802	0.217890
0.144000	0.218929	0.219017
0.145000	0.220051	0.220140
0.146000	0.221168	0.221258
0.147000	0.222281	0.222372
0.148000	0.223390	0.223482
0.149000	0.224494	0.224587
0.150000	0.225594	0.225687
0.151000	0.226690	0.226784
0.152000	0.227781	0.227876
0.153000	0.228867	0.228963
0.154000	0.229950	0.230046
0.155000	0.231028	0.231125
0.156000	0.232102	0.232200
0.157000	0.233171	0.233270
0.158000	0.234236	0.234336
0.159000	0.235297	0.235398
0.160000	0.236354	0.236455
0.161000	0.237406	0.237508
0.162000	0.238455	0.238557
0.163000	0.239499	0.239602
0.164000	0.240539	0.240643
0.165000	0.241574	0.241679
0.166000	0.242606	0.242712
0.167000	0.243633	0.243740
0.168000	0.244657	0.244764
0.169000	0.245676	0.245784
0.170000	0.246692	0.246801
0.171000	0.247703	0.247812
0.172000	0.248710	0.248820
0.173000	0.249713	0.249824
0.174000	0.250712	0.250824
0.175000	0.251707	0.251820
0.176000	0.252699	0.252812
0.177000	0.253686	0.253800
0.178000	0.254669	0.254784
0.179000	0.255648	0.255764
0.180000	0.256624	0.256740
0.181000	0.257595	0.257713
0.182000	0.258563	0.258681
0.183000	0.259527	0.259646
0.184000	0.260487	0.260606
0.185000	0.261443	0.261563
0.186000	0.262395	0.262516
0.187000	0.263344	0.263465
0.188000	0.264289	0.264411
0.189000	0.265230	0.265353
0.190000	0.266167	0.266291
0.191000	0.267100	0.267225
0.192000	0.268030	0.268155
0.193000	0.268956	0.269082
0.194000	0.269878	0.270005
0.195000	0.270797	0.270924
0.196000	0.271712	0.271840
0.197000	0.272623	0.272752
0.198000	0.273531	0.273660
0.199000	0.274435	0.274565
0.200000	0.275336	0.275466
0.201000	0.276232	0.276364
0.202000	0.277126	0.277258
0.203000	0.278015	0.278148
0.204000	0.278902	0.279035
0.205000	0.279784	0.279918
0.206000	0.280663	0.280798
0.207000	0.281539	0.281674
0.208000	0.282411	0.282547
0.209000	0.283280	0.283416
0.210000	0.284145	0.284282
0.211000	0.285006	0.285144
0.212000	0.285865	0.286003
0.213000	0.286720	0.286859
0.214000	0.287571	0.287711
0.215000	0.288419	0.288559
0.216000	0.289264	0.289405
0.217000	0.290105	0.290246
0.218000	0.290943	0.291085
0.219000	0.291777	0.291920
0.220000	0.292609	0.292752
0.221000	0.293436	0.293580
0.222000	0.294261	0.294406
0.223000	0.295082	0.295228
0.224000	0.295900	0.296046
0.225000	0.296715	0.296861
0.226000	0.297527	0.297674
0.227000	0.298335	0.298482
0.228000	0.299140	0.299288
0.229000	0.299942	0.300090
0.230000	0.300740	0.300890
0.231000	0.301536	0.301686
0.232000	0.302328	0.302478
0.233000	0.303117	0.303268
0.234000	0.303903	0.304055
0.235000	0.304686	0.304838
0.236000	0.305466	0.305618
0.237000	0.306242	0.306395
0.238000	0.307016	0.307169
0.239000	0.307786	0.307940
0.240000	0.308554	0.308708
0.241000	0.309318	0.309473
0.242000	0.310079	0.310235
0.243000	0.310837	0.310993
0.244000	0.311592	0.311749
0.245000	0.312344	0.312502
0.246000	0.313094	0.313251
0.247000	0.313840	0.313998
0.248000	0.314583	0.314742
0.249000	0.315323	0.315482
0.250000	0.316060	0.316220
0.251000	0.316795	0.316955
0.252000	0.317526	0.317687
0.253000	0.318254	0.318415
0.254000	0.318980	0.319141
0.255000	0.319703	0.319865
0.256000	0.320422	0.320585
0.257000	0.321139	0.321302
0.258000	0.321853	0.322017
0.259000	0.322564	0.322728
0.260000	0.323273	0.323437
0.261000	0.323978	0.324143
0.262000	0.324681	0.324846
0.263000	0.325381	0.325546
0.264000	0.326078	0.326244
0.265000	0.326772	0.326939
0.266000	0.327464	0.327630
0.267000	0.328152	0.328320
0.268000	0.328838	0.329006
0.269000	0.329522	0.329690
0.270000	0.330202	0.330371
0.271000	0.330880	0.331049
0.272000	0.331555	0.331725
0.273000	0.332228	0.332397
0.274000	0.332897	0.333067
0.275000	0.333564	0.333735
0.276000	0.334229	0.334400
0.277000	0.334891	0.335062
0.278000	0.335550	0.335721
0.279000	0.336206	0.336378
0.280000	0.336860	0.337032
0.281000	0.337511	0.337684
0.282000	0.338160	0.338333
0.283000	0.338806	0.338980
0.284000	0.339450	0.339623
0.285000	0.340090	0.340265
0.286000	0.340729	0.340903
0.287000	0.341365	0.341539
0.288000	0.341998	0.342173
0.289000	0.342629	0.342804
0.290000	0.343257	0.343433
0.291000	0.343883	0.344059
0.292000	0.344506	0.344682
0.293000	0.345127	0.345303
0.294000	0.345745	0.345922
0.295000	0.346361	0.346538
0.296000	0.346974	0.347152
0.297000	0.347585	0.347763
0.298000	0.348193	0.348372
0.299000	0.348799	0.348978
0.300000	0.349403	0.349582
0.301000	0.350004	0.350183
0.302000	0.350603	0.350782
0.303000	0.351199	0.351379
0.304000	0.351793	0.351973
0.305000	0.352385	0.352565
0.306000	0.352974	0.353155
0.307000	0.353561	0.353742
0.308000	0.354146	0.354327
0.309000	0.354728	0.354909
0.310000	0.355308	0.355490
0.311000	0.355886	0.356067
0.312000	0.356461	0.356643
0.313000	0.357034	0.357216
0.314000	0.357605	0.357787
0.315000	0.358173	0.358356
0.316000	0.358739	0.358922
0.317000	0.359303	0.359486
0.318000	0.359865	0.360048
0.319000	0.360424	0.360608
0.320000	0.360981	0.361165
0.321000	0.361536	0.361721
0.322000	0.362089	0.362273
0.323000	0.362640	0.362824
0.324000	0.363188	0.363373
0.325000	0.363734	0.363919
0.326000	0.364278	0.364463
0.327000	0.364820	0.365005
0.328000	0.365360	0.365545
0.329000	0.365897	0.366083
0.330000	0.366432	0.366618
0.331000	0.366966	0.367152
0.332000	0.367497	0.367683
0.333000	0.368026	0.368212
0.334000	0.368552	0.368739
0.335000	0.369077	0.369264
0.336000	0.369600	0.369787
0.337000	0.370120	0.370308
0.338000	0.370639	0.370826
0.339000	0.371155	0.371343
0.340000	0.371670	0.371857
0.341000	0.372182	0.372370
0.342000	0.372692	0.372880
0.343000	0.373200	0.373388
0.344000	0.373707	0.373895
0.345000	0.374211	0.374399
0.346000	0.374713	0.374901
0.347000	0.375213	0.375402
0.348000	0.375711	0.375900
0.349000	0.376207	0.376396
0.350000	0.376702	0.376891
0.351000	0.377194	0.377383
0.352000	0.377684	0.377873
0.353000	0.378172	0.378362
0.354000	0.378659	0.378848
0.355000	0.379143	0.379333
0.356000	0.379625	0.379815
0.357000	0.380106	0.380296
0.358000	0.380585	0.380774
0.359000	0.381061	0.381251
0.360000	0.381536	0.381726
0.361000	0.382009	0.382199
0.362000	0.382480	0.382670
0.363000	0.382949	0.383139
0.364000	0.383416	0.383607
0.365000	0.383882	0.384072
0.366000	0.384345	0.384536
0.367000	0.384807	0.384998
0.368000	0.385267	0.385458
0.369000	0.385725	0.385916
0.370000	0.386181	0.386372
0.371000	0.386636	0.386826
0.372000	0.387088	0.387279
0.373000	0.387539	0.387730
0.374000	0.387988	0.388179
0.375000	0.388435	0.388626
0.376000	0.388880	0.389071
0.377000	0.389324	0.389515
0.378000	0.389766	0.389957
0.379000	0.390206	0.390397
0.380000	0.390644	0.390835
0.381000	0.391081	0.391272
0.382000	0.391515	0.391707
0.383000	0.391948	0.392140
0.384000	0.392380	0.392571
0.385000	0.392809	0.393001
0.386000	0.393237	0.393429
0.387000	0.393664	0.393855
0.388000	0.394088	0.394279
0.389000	0.394511	0.394702
0.390000	0.394932	0.395123
0.391000	0.395351	0.395543
0.392000	0.395769	0.395961
0.393000	0.396185	0.396377
0.394000	0.396600	0.396791
0.395000	0.397012	0.397204
0.396000	0.397424	0.397615
0.397000	0.397833	0.398024
0.398000	0.398241	0.398432
0.399000	0.398647	0.398838
0.400000	0.399052	0.399243
0.401000	0.399455	0.399646
0.402000	0.399856	0.400047
0.403000	0.400256	0.400447
0.404000	0.400654	0.400845
0.405000	0.401051	0.401242
0.406000	0.401446	0.401637
0.407000	0.401839	0.402030
0.408000	0.402231	0.402422
0.409000	0.402621	0.402812
0.410000	0.403010	0.403201
0.411000	0.403397	0.403588
0.412000	0.403783	0.403974
0.413000	0.404167	0.404358
0.414000	0.404549	0.404740
0.415000	0.404931	0.405121
0.416000	0.405310	0.405501
0.417000	0.405688	0.405879
0.418000	0.406065	0.406255
0.419000	0.406440	0.406630
0.420000	0.406813	0.407003
0.421000	0.407185	0.407375
0.422000	0.407556	0.407746
0.423000	0.407925	0.408115
0.424000	0.408292	0.408482
0.425000	0.408658	0.408848
0.426000	0.409023	0.409213
0.427000	0.409386	0.409576
0.428000	0.409748	0.409938
0.429000	0.410108	0.410298
0.430000	0.410467	0.410657
0.431000	0.410824	0.411014
0.432000	0.411180	0.411370
0.433000	0.411535	0.411724
0.434000	0.411888	0.412077
0.435000	0.412240	0.412429
0.436000	0.412590	0.412779
0.437000	0.412939	0.413128
0.438000	0.413287	0.413476
0.439000	0.413633	0.413822
0.440000	0.413978	0.414166
0.441000	0.414321	0.414510
0.442000	0.414663	0.414851
